powerful,19
seem,19
seemed,19
sign,19
smile,19
Some,19
system,19
Tell,19
Thanks,19
themselves,19
With,19
words,19
works,19
wrong,19
amount,18
anyone,18
choices,18
completely,18
cortex,18
Craig,18
created,18
entire,18
half,18
higher,18
known,18
pick,18
possible,18
prison,18
quickly,18
self,18
single,18
Skinner,18
sorry,18
sounds,18
suggestion,18
weird,18
welcome,18
wouldn,18
Your,18
actor,17
affect,17
anger,17
box,17
bring,17
car,17
case,17
chose,17
days,17
describe,17
dunno,17
future,17
games,17
hippocampus,17
individual,17
item,17
later,17
meaning,17
MRI,17
objects,17
perfect,17
police,17
scientific,17
somebody,17
supposed,17
under,17
universe,17
wee,17
white,17
artificial,16
At,16
average,16
aware,16
black,16
Brice,16
care,16
ceremony,16
child,16
common,16
correct,16
couldn,16
crazy,16
deep,16
easier,16
feels,16
field,16
First,16
focus,16
free,16
front,16
heart,16
ice,16
joke,16
knows,16
layer,16
needs,16
network,16
neural,16
oh,16
past,16
response,16
role,16
rupees,16
seat,16
sit,16
social,16
stand,16
stay,16
telling,16
weren,16
within,16
year,16
FALSE,16
aren,15
belief,15
cell,15
chance,15
clean,15
clear,15
create,15
Dane,15
developed,15
Don,15
drug,15
electrical,15
end,15
firing,15
food,15
hello,15
hmm,15
home,15
hundred,15
hurt,15
individuals,15
instead,15
kinds,15
likely,15
living,15
low,15
nervous,15
neuron,15
outside,15
participant,15
pressure,15
relationship,15
relaxed,15
ride,15
seconds,15
sent,15
sound,15
specific,15
thanks,15
visual,15
weeks,15
zero,15
break,14
Broca,14
built,14
changes,14
Cleverbot,14
cognitive,14
demonstration,14
Elsa,14
fine,14
God,14
gone,14
helping,14
hour,14
hours,14
influence,14
involved,14
licensing,14
matter,14
Monica,14
mortality,14
normal,14
particular,14
parts,14
People,14
please,14
rather,14
received,14
ritual,14
safe,14
showing,14
shown,14
strong,14
studying,14
taken,14
tracks,14
Two,14
Which,14
?,13
Before,13
beliefs,13
Blaisdell,13
blood,13
build,13
By,13
class,13
color,13
Could,13
curious,13
damage,13
device,13
Each,13
fast,13
fMRI,13
Fort,13
further,13
goes,13
greater,13
guards,13
hands,13
hidden,13
injury,13
interested,13
José,13
leave,13
lights,13
lines,13
night,13
Noah,13
noise,13
normally,13
object,13
once,13
pattern,13
photo,13
picked,13
played,13
potential,13
recognize,13
release,13
respond,13
risk,13
sensation,13
shouldn,13
sometimes,13
students,13
tan,13
tests,13
treat,13
tried,13
truly,13
turns,13
until,13
uses,13
Very,13
whatever,13
Where,13
While,13
write,13
Alex,12
An,12
anxiety,12
anyway,12
arm,12
asking,12
behind,12
calm,12
Cause,12
cells,12
communicate,12
confess,12
continue,12
decide,12
detail,12
dollar,12
drive,12
edge,12
entirely,12
ethical,12
Everyone,12
expect,12
experimental,12
explain,12
famous,12
George,12
gets,12
gosh,12
haven,12
heal,12
Instead,12
Jay,12
Kamitani,12
Laurie,12
literally,12
longer,12
lose,12
lower,12
lying,12
natural,12
needed,12
nine,12
none,12
noticed,12
Number,12
Once,12
puppies,12
Rebecca,12
relax,12
scared,12
school,12
screen,12
security,12
several,12
showed,12
signal,12
similar,12
simple,12
speech,12
street,12
subconscious,12
testing,12
totally,12
towards,12
understanding,12
waiting,12
wants,12
worth,12
wow,12
active,11
admit,11
aggression,11
Ai,11
Although,11
antenna,11
Ayumu,11
became,11
beginning,11
bubbles,11
cannot,11
changing,11
chimpanzee,11
connected,11
contract,11
debrief,11
deed,11
designed,11
draw,11
driving,11
dropped,11
EEG,11
emotion,11
energy,11
environment,11
Every,11
evidence,11
Experiment,11
experiments,11
extremely,11
family,11
follow,11
fresh,11
fully,11
guard,11
hold,11
improve,11
India,11
kid,11
Lisa,11
Looks,11
Madras,11
medicine,11
mental,11
messages,11
mouth,11
movements,11
muscles,11
museum,11
notes,11
opportunity,11
painful,11
Pavlo,11
perhaps,11
pictures,11
piece,11
Please,11
positive,11
Prison,11
Probably,11
psychedelics,11
red,11
retina,11
reverse,11
sat,11
scary,11
seven,11
shows,11
skin,11
special,11
station,11
studies,11
tasks,11
thinks,11
Three,11
trash,11
waves,11
Whoa,11
writing,11
?,10
abilities,10
absolutely,10
accept,10
acting,10
acts,10
Alie,10
allowed,10
anybody,10
appreciate,10
approaching,10
arms,10
B,10
basically,10
begins,10
bigger,10
building,10
cameras,10
chat,10
clearly,10
Come,10
compared,10
complete,10
complex,10
conformity,10
contains,10
crime,10
crowd,10
cute,10
dangerous,10
destruction,10
Does,10
dogs,10
dreams,10
ego,10
episode,10
experienced,10
explore,10
fantastic,10
favorite,10
fear,10
feelings,10
final,10
forced,10
gaming,10
glad,10
Got,10
healing,10
history,10
horn,10
illusion,10
including,10
isolation,10
itself,10
Jeremiah,10
Kimberly,10
led,10
months,10
movement,10
muscle,10
must,10
negative,10
non,10
notice,10
original,10
Peru,10
photos,10
prime,10
prisoners,10
produce,10
pull,10
radio,10
react,10
reaction,10
Really,10
scale,10
scientists,10
sending,10
shape,10
short,10
shut,10
Something,10
spatial,10
speed,10
surprised,10
symptoms,10
Take,10
Theory,10
training,10
trick,10
uncomfortable,10
wall,10
Welcome,10
whistle,10
willing,10
worse,10
wrap,10
wrote,10
young,10
actions,9
affects,9
afterwards,9
agree,9
Alcor,9
alien,9
aliens,9
alive,9
allowing,9
allows,9
anticipation,9
anxious,9
areas,9
assigned,9
bank,9
Barry,9
began,9
behaviors,9
blame,9
born,9
breakfast,9
California,9
century,9
characteristics,9
chimpanzees,9
cockroach,9
communication,9
conscious,9
cutting,9
